dia,turno,tms_x_turno,dosificacion_acido_x_dia_kg_tms,flujo_sx_hg,flujo_sx_lg,flujo_lix_hg,flujo_lix_lg,ph_pls_hg,ph_pls_lg
2025-02-12,B,13071.459502864993,42.66436241506608,861.4500325520834,831.7022298177084,1066.443359375,920.338134765625,1.350000023841858,1.4600000381469727
2025-02-13,A,19269.918767078107,,865.26123046875,835.92724609375,1038.3326009114583,868.326171875,1.3300000429153442,1.4600000381469727
2025-02-13,B,18553.815486103937,37.146781716345124,863.73193359375,837.4122721354166,1012.8963216145834,889.86865234375,1.3300000429153442,1.4299999475479126
2025-02-14,A,16770.97408279786,,844.945068359375,853.30810546875,1013.0888671875,865.5948079427084,1.3300000429153442,1.4500000476837158
2025-02-14,B,17358.770747231032,38.42806345408266,799.8118489583334,863.906494140625,993.3518880208334,864.7274576822916,1.340000033378601,1.399999976158142
2025-02-15,A,14580.208168233688,,805.8872884114584,862.2950032552084,1069.937255859375,987.4517415364584,1.340000033378601,1.4299999475479126
2025-02-15,B,18804.025398772003,36.88058309108073,858.05322265625,875.8887532552084,1174.618896484375,909.881591796875,1.3200000524520874,1.4500000476837158
2025-02-16,A,12717.995538915018,,862.2708333333334,876.9740397135416,1143.2313639322917,993.2213541666666,1.2999999523162842,1.3899999856948853
2025-02-16,B,17727.08152746411,35.84290483551016,869.209716796875,875.6324869791666,1121.439453125,972.3234049479166,1.309999942779541,1.399999976158142
2025-02-17,A,18214.975312676375,,873.6541341145834,876.9060872395834,1165.9591471354167,952.7579752604166,1.350000023841858,1.440000057220459
2025-02-17,B,18229.469307588897,36.631097384254296,871.8487141927084,877.3203125,1112.4013671875,948.3841145833334,1.3200000524520874,1.4299999475479126
2025-02-18,A,19440.06612403502,,872.193115234375,881.0762532552084,1135.7019856770833,962.6809895833334,1.3200000524520874,1.4500000476837158
2025-02-18,B,18954.35600205122,37.89925513715053,870.7982584635416,882.624755859375,1148.4680989583333,927.2837727864584,1.3799999952316284,1.4500000476837158
2025-02-19,A,12611.292601038638,,870.6419270833334,896.3863118489584,1097.482421875,912.7914225260416,1.3799999952316284,1.4199999570846558
