codigo_de_batea,ano,ciclo,n_batea,fecha_rebose,inicio_de_carga,fin_de_carga,tms,horas_de_lixiviacion,cut_pct,cusac_pct,pctc,fet_pct,indice_solubilidad,pctrec_cusac,p80_mm,pcthumedad_inicial,tiempo_de_lixiviacion_h,ratio_de_curado_kg_tn,pctoxi_2,pctoxi_3,pctoxi_3m,pctoxi_4,pctoxi_4m
25-C3-B12-Ene,2025,3,Batea 12,2025-01-18 13:33:00,2025-01-17 23:02:00.000,2025-01-18 10:14:00.000,15614.898433768092,107.98194122314453,0.5583865814696485,0.49254491017964075,0.426731952474962,11.578873801916933,88.2085864032199,69.91127663037398,9.34087187880812,1.9287876286390402,107.98194122314453,26.124741990195236,36.76,63.24,0.0,0.0,0.0
25-C3-B13-Ene,2025,3,Batea 13,2025-01-19 01:59:00,2025-01-18 10:14:00.000,2025-01-18 21:27:00.000,15636.258919469929,106.44999694824219,0.4928657314629259,0.41217052715654956,0.468397193828794,10.709298597194389,83.62734530825333,79.1297449267455,9.737452454423948,1.967028718056874,106.44999694824219,27.005946613645072,40.98,59.02,0.0,0.0,0.0
25-C3-B14-Ene,2025,3,Batea 14,2025-01-19 12:40:00,2025-01-18 21:27:00.000,2025-01-19 08:28:00.000,15560.896044002538,107.19527435302734,0.4941105769230769,0.4365738886663997,0.547237844309242,11.533974358974358,88.35550361723293,62.554982206387045,9.373145562548022,2.1081023905225305,107.19527435302734,26.08640386625212,47.62,52.38,0.0,0.0,0.0
25-C3-B15-Ene,2025,3,Batea 15,2025-01-19 23:19:00,2025-01-19 08:28:00.000,2025-01-19 19:02:00.000,15198.743010353237,106.54972076416016,0.5124700239808153,0.44169338677354714,0.608505023410908,11.576099120703438,86.18911665164678,68.27928083462275,9.646984642512486,1.9688918320869606,106.54972076416016,28.269282310223833,56.25,43.75,0.0,0.0,0.0
25-C4-B02-Ene,2025,4,Batea 02,2025-01-20 11:31:00,2025-01-19 19:02:00.000,2025-01-20 07:40:00.000,15245.12478242001,103.33305358886719,0.5710568454763811,0.49681872749099637,0.559300225192496,11.532465972778223,86.99987250420672,74.73673746613727,8.833657870809002,1.9473704974947725,103.33305358886719,28.35148878686732,46.48,53.52,0.0,0.0,0.0
25-C4-B03-Ene,2025,4,Batea 03,2025-01-20 21:35:00,2025-01-20 07:40:00.000,2025-01-20 18:05:00.000,15279.196404109589,104.44027709960938,0.5638323353293414,0.4935876947662805,0.446763074146732,11.013373253493015,87.54157288229484,81.10125808497905,9.806748379053648,1.3099315068493151,104.44027709960938,27.585719166032575,39.62,47.17,0.0,13.21,0.0
25-C4-B04-Ene,2025,4,Batea 04,2025-01-21 10:22:00,2025-01-20 18:05:00.000,2025-01-21 06:12:00.000,14938.564361326748,97.47971999645233,0.5703481392557023,0.5071585903083701,0.479406821833117,9.970428171268507,88.9208810201794,68.2542756544609,9.36996687777233,2.016500319252613,97.47971999645233,27.987528368534782,19.05,49.21,0.0,31.75,0.0
25-C4-B05-Ene,2025,4,Batea 05,2025-01-21 20:40:00,2025-01-21 06:12:00.000,2025-01-21 17:14:00.000,15630.991386122965,97.32999610900879,0.6147895791583167,0.5114099999999999,0.525692858307802,11.139118236472946,83.18455896733813,74.77000780966326,9.751050112339206,2.036905326379011,97.32999610900879,28.154070920844,36.92,38.46,0.0,24.62,0.0
25-C4-B06-Ene,2025,4,Batea 06,2025-01-22 06:12:00,2025-01-21 17:14:00.000,2025-01-22 03:23:00.000,15463.417458745875,100.97332954406738,0.6133360032038446,0.5365868263473054,0.511703221435419,10.965678814577492,87.4866017230964,76.410703178113,9.184169473485467,1.9067656765676566,100.97332954406738,28.370081421955344,42.11,29.82,0.0,28.07,0.0
25-C4-B07-Ene,2025,4,Batea 07,2025-01-22 16:47:00,2025-01-22 03:23:00.000,2025-01-22 13:37:00.000,15361.746567095437,103.2691650390625,0.610060120240481,0.5221169193934557,0.550640525572827,10.585771543086173,85.58450258765338,82.87977754045176,9.598886173475712,1.451459025561733,103.2691650390625,28.413427500073713,49.28,24.64,0.0,26.09,0.0
25-C4-B09-Ene,2025,4,Batea 09,2025-01-23 05:57:00,2025-01-22 13:37:00.000,2025-01-23 01:19:00.000,15216.005931784479,99.92666625976562,0.580672268907563,0.5162774451097805,0.549493664170902,9.361264505802321,88.91029807245134,80.55392446218535,9.73230666600432,1.7053880375679684,99.92666625976562,28.065659090947932,50.85,25.42,0.0,23.73,0.0
25-C4-B10-Ene,2025,4,Batea 10,2025-01-23 14:52:00,2025-01-23 01:19:00.000,2025-01-23 11:27:00.000,15434.862097440131,102.9841661453247,0.5618094475580465,0.46302999999999994,0.50887990187182,9.26293034427542,82.41762434088639,66.42061752358987,9.587591690137327,2.261511541032598,102.9841661453247,28.61916000823838,50.75,25.37,0.0,23.88,0.0
25-C4-B11-Ene,2025,4,Batea 11,2025-01-24 03:22:00,2025-01-23 11:27:00.000,2025-01-23 23:00:00.000,14971.397799467717,100.61583137512207,0.547636217948718,0.49142059058260174,0.52132354040429,9.054647435897435,89.7348594699081,76.31942486066903,9.074036923179943,1.788258990634242,100.61583137512207,28.497443485510924,39.34,37.7,0.0,22.95,0.0
25-C4-B12-Ene,2025,4,Batea 12,2025-01-24 13:18:00,2025-01-23 23:00:00.000,2025-01-24 09:27:00.000,15094.836024785052,100.35110855102539,0.5210547343188174,0.4446213942307692,0.503746874868564,9.776508190171793,85.33103433212814,76.99724451399787,8.7238225707041,1.611028387530621,100.35110855102539,28.45927626714654,51.56,34.38,0.0,14.06,0.0
25-C4-B13-Ene,2025,4,Batea 13,2025-01-25 00:50:00,2025-01-24 09:27:00.000,2025-01-24 19:40:00.000,15230.184570383033,103.7676,0.5862124248496994,0.5092373899119296,0.52046447903303,10.697394789579157,86.869088460978,73.42191131717034,9.841189487850421,2.081878806846907,103.7676,28.70507312869295,43.75,43.75,0.0,12.5,0.0
25-C4-B14-Ene,2025,4,Batea 14,2025-01-25 10:13:00,2025-01-24 19:40:00.000,2025-01-25 05:59:00.000,15412.203603897871,103.94,0.5594951923076923,0.4931110223642173,0.515974494044807,10.327804487179487,88.13498831515119,61.82765863561834,9.329048519040144,1.8955849529097937,103.94,28.355288763222262,40.68,44.07,0.0,15.25,0.0
25-C4-B15-Ene,2025,4,Batea 15,2025-01-25 23:20:00,2025-01-25 05:59:00.000,2025-01-25 16:18:00.000,15013.122342938119,111.02,0.5822115384615385,0.4902404809619239,0.499808265665888,10.790665064102562,84.20315445093325,62.12690450327154,9.460006359185318,2.220122815304676,111.02,28.539615791989355,46.88,34.37,0.0,18.75,0.0
25-C5-B02-Ene,2025,5,Batea 02,2025-01-26 08:20:00,2025-01-25 16:18:00.000,2025-01-26 03:50:00.000,14791.791773127914,112.52,0.5608486789431545,0.4866693354683747,0.457481221136538,9.917052715654952,86.77373304782299,68.83753612177537,8.819046324158244,1.9111951384090604,112.52,28.510888408185952,45.9,40.98,0.0,13.11,0.0
25-C5-B03-Ene,2025,5,Batea 03,2025-01-27 07:45:00,2025-01-26 03:50:00.000,2025-01-27 04:26:00.000,15043.186478814705,98.082,0.5722689075630252,0.5095953525641026,0.607261470362602,10.354491017964072,89.04823341428518,66.10594899646597,9.147863515303914,1.7427401775656195,98.082,26.814701158074786,41.1,47.95,0.0,10.96,0.0
25-C5-B04-Ene,2025,5,Batea 04,2025-01-27 18:40:00,2025-01-27 04:26:00.000,2025-01-27 14:37:00.000,15177.814029939,100.42,0.5243308030363564,0.4605957616953219,0.574024912927199,9.282061526168597,87.84449798258083,79.92275049143403,9.42987856574925,1.2503966822446384,100.42,27.69636125784872,44.07,45.76,0.0,10.17,0.0
25-C5-B05-Ene,2025,5,Batea 05,2025-01-28 04:33:00,2025-01-27 14:37:00.000,2025-01-28 00:46:00.000,15026.367469879518,106.1,0.5852295409181637,0.5046444266879744,0.555199226957261,9.944670658682636,86.23016977171731,77.71432711432963,9.531795672189396,1.8654162102957283,106.1,27.63469632138038,45.31,54.69,0.0,0.0,0.0
25-C5-B06-Ene,2025,5,Batea 06,2025-01-28 14:52:00,2025-01-28 00:46:00.000,2025-01-28 10:55:00.000,15391.641296854445,106.79,0.57218887555022,0.4831801837794646,0.454082589467171,10.243417366946778,84.44417646442983,75.07103845379656,9.320852879756709,1.7387557657402628,106.79,28.281747058995993,49.21,50.79,0.0,0.0,0.0
25-C5-B07-Ene,2025,5,Batea 07,2025-01-29 00:39:00,2025-01-28 10:55:00.000,2025-01-28 21:06:00.000,15305.33184371037,108.19,0.6192153722978383,0.5588164734106358,0.629261615613684,10.262449959967974,90.24589802041429,74.80928643454564,9.507288874798956,1.737725708074159,108.19,28.43506290500651,63.08,36.92,0.0,0.0,0.0
25-C5-B09-Ene,2025,5,Batea 09,2025-01-29 11:38:00,2025-01-28 21:06:00.000,2025-01-29 07:42:00.000,15611.956321808791,108.13,0.5705740666399036,0.48583832335329336,0.744426633373164,12.705299076676033,85.14903704165579,76.9284529588617,9.07145696404815,1.6631624980549824,108.13,27.822453013422184,86.15,13.85,0.0,0.0,0.0
25-C5-B10-Ene,2025,5,Batea 10,2025-01-30 00:15:00,2025-01-29 07:42:00.000,2025-01-29 19:30:00.000,15217.430273745276,107.39,,,,,,,9.50807138375986,1.5690150469257693,107.39,27.929481358836163,72.97,27.03,0.0,0.0,0.0
25-C5-B11-Ene,2025,5,Batea 11,2025-01-30 10:10:00,2025-01-29 19:30:00.000,2025-01-30 05:45:00.000,15414.292243651424,107.75,0.49196642685851316,0.42616000000000004,0.651387882587968,10.23792965627498,86.62379722154523,58.25598317393401,8.893663342112493,1.5690150469257693,107.75,27.697336676836557,66.67,33.33,0.0,0.0,0.0
25-C5-B12-Ene,2025,5,Batea 12,2025-01-30 21:46:00,2025-01-30 05:45:00.000,2025-01-30 17:24:58.000,14783.150940512049,107.47,0.48172690763052206,0.42778112449799194,0.486419963212151,9.992814371257484,88.80158399333055,76.2069255408122,,1.8252693550800272,107.47,27.352839982234034,71.43,28.57,0.0,0.0,0.0
25-C5-B13-Ene,2025,5,Batea 13,2025-01-31 07:54:00,2025-01-30 17:24:58.000,2025-01-31 03:53:00.000,15297.546622888745,114.00166320800781,0.5148681055155876,0.4470440881763527,0.578891618170212,9.88864908073541,86.82691419168098,85.16114866154962,7.549721264645421,1.6298204431306973,114.00166320800781,27.70999726974565,53.06,46.94,0.0,0.0,0.0
25-C5-B14-Ene,2025,5,Batea 14,2025-01-31 17:50:00,2025-01-31 03:53:00.000,2025-01-31 13:53:00.000,14825.547869173854,115.39833068847656,0.5793213572854291,0.5062125449460647,0.543836562565851,9.635517379145027,87.38026633750636,67.18520202270794,9.417460882805335,1.700385431813728,115.39833068847656,28.643865276382947,47.83,52.17,0.0,0.0,0.0
25-C5-B15-Feb,2025,5,Batea 15,2025-02-01 03:58:00,2025-01-31 13:53:00.000,2025-02-01 00:09:42.000,14808.10108920346,115.14555358886719,0.5202242691229475,0.45335268214571656,0.529876655764678,9.332919503404085,87.14562335010426,61.90911195917329,9.44652487671895,1.318798552555907,115.14555358886719,26.72748132356572,50.77,49.23,0.0,0.0,0.0
25-C6-B02-Feb,2025,6,Batea 02,2025-02-01 16:24:00,2025-02-01 00:09:42.000,2025-02-01 12:25:00.000,15096.885081513235,114.4397201538086,0.5635891286970425,0.475610244097639,0.513997950344523,9.566027178257395,84.389534836699,69.16475417516654,9.603841696709718,1.8024906887391976,114.4397201538086,27.78599861291945,49.12,50.88,0.0,0.0,0.0
25-C6-B03-Feb,2025,6,Batea 03,2025-02-02 02:12:00,2025-02-01 12:25:00.000,2025-02-01 22:37:25.000,15283.867394079682,114.59610748291016,0.5785143769968052,0.4653354632587859,0.546469470390141,12.818690095846645,80.43628330802152,70.8661822765645,9.393623332629312,1.496085369427155,114.59610748291016,27.22945705002915,58.73,41.27,0.0,0.0,0.0
25-C6-B04-Feb,2025,6,Batea 04,2025-02-02 15:18:00,2025-02-01 22:37:25.000,2025-02-02 12:00:00.000,15220.50534746207,111.98666381835938,0.5589057507987221,0.48542166266986414,0.58402123213281,11.578833865814698,86.85215029119969,72.11630342155797,9.421272511438474,1.917094036202665,111.98666381835938,27.559844607248944,71.62,27.03,0.0,1.35,0.0
